,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K,age_10
2260,25,4,11,15,4,14,3,4,1,5,0,4,39,0,2
2325,39,4,9,4,2,4,0,4,1,5,2,5,39,1,3
2328,56,4,1,13,2,5,0,4,1,5,0,5,39,0,5
2374,55,4,10,7,4,10,1,4,1,5,0,4,9,0,5
2390,30,5,11,15,2,4,0,4,1,5,0,6,2,1,3
2397,21,0,15,1,4,0,3,4,0,5,0,4,39,0,2
2443,23,4,7,3,4,3,2,4,1,5,0,4,39,0,2
2466,48,4,11,15,0,7,1,4,0,5,0,5,39,0,4
2478,69,5,9,4,2,7,0,4,1,9,0,3,39,0,6
2505,57,6,11,15,6,3,1,4,1,5,0,5,39,1,5
2599,60,4,7,3,2,1,0,4,1,5,0,3,39,1,6
2604,18,4,0,12,4,6,3,4,1,5,0,2,39,0,1
2619,40,5,11,15,2,6,0,4,1,5,0,4,39,0,4
2628,32,4,11,15,4,6,2,4,1,5,0,6,39,0,3
2632,40,0,15,1,2,0,5,4,0,5,0,2,39,0,4
2635,52,7,12,5,2,10,0,4,1,5,0,4,39,0,5
2726,30,1,9,4,4,10,1,4,1,5,0,4,39,1,3
2837,69,6,15,1,2,8,5,4,0,5,0,1,39,0,6
2840,44,4,14,6,4,10,1,4,1,0,0,4,39,1,4
2842,33,7,9,4,2,1,0,2,1,5,0,4,39,0,3
2846,48,4,9,4,2,10,0,4,1,5,0,5,39,0,4
2940,25,4,11,15,4,12,4,2,0,5,0,3,39,0,2
3033,40,0,11,15,0,0,1,4,1,5,0,2,39,0,4
3064,41,4,11,15,3,10,1,1,1,5,0,4,24,1,4
3101,65,5,11,15,2,5,0,4,1,5,3,6,39,0,6
3133,45,4,11,15,4,3,3,4,1,0,0,4,39,1,4
3162,45,4,11,15,4,7,1,4,1,5,0,4,39,0,4
3199,62,4,15,1,2,12,0,1,1,5,0,4,39,1,6
3287,34,5,15,1,2,5,0,4,1,5,0,7,39,0,3
3293,39,6,11,15,2,4,0,4,1,5,0,4,39,0,3
3312,26,4,11,15,2,5,0,4,1,5,0,5,39,0,2
3315,68,4,2,14,6,12,1,4,0,5,0,3,39,0,6
3401,58,4,11,15,2,3,0,4,1,5,0,4,39,1,5
3492,30,4,8,2,2,10,0,4,1,5,0,4,39,0,3
3514,39,4,11,15,0,4,4,4,0,5,0,4,39,0,3
3551,24,4,15,1,4,12,1,2,1,5,0,4,23,0,2
3553,39,4,2,14,0,12,1,4,0,5,0,4,39,0,3
3691,34,4,11,15,2,3,0,4,1,5,2,4,39,0,3
3705,43,4,1,13,2,3,0,4,1,5,0,4,39,0,4
3776,40,1,15,1,0,1,1,4,0,5,0,5,39,0,4
3787,26,4,15,1,1,11,0,4,1,5,0,4,39,0,2
3812,26,7,11,15,2,11,0,1,1,5,0,4,39,1,2
3829,40,4,12,5,2,4,0,4,1,5,0,4,39,1,4
3830,57,4,11,15,2,8,0,4,1,5,0,3,39,0,5
3867,68,4,11,15,2,6,0,4,1,5,0,4,39,1,6
3918,47,4,11,15,2,10,0,4,1,5,0,5,39,0,4
3922,22,4,11,15,4,1,3,4,0,5,0,4,39,0,2
3984,49,4,6,11,0,8,1,2,1,5,0,3,39,0,4
3987,37,4,9,4,2,8,0,1,1,5,0,3,3,0,3
3991,19,7,15,1,4,1,3,4,1,5,0,1,39,0,1
4083,59,6,11,15,0,8,3,4,0,5,0,2,39,0,5
4096,59,4,11,15,2,6,0,4,1,5,0,4,39,1,5
4104,30,5,15,1,2,12,0,4,1,5,0,5,39,0,3
4136,44,4,9,4,2,4,0,4,1,5,0,5,39,0,4
4191,26,4,15,1,4,7,1,2,0,5,0,3,39,0,2
4205,25,4,11,15,4,8,3,4,0,5,0,1,39,0,2
4234,31,4,15,1,6,4,4,4,0,5,0,3,39,0,3
4274,30,2,9,4,5,10,1,4,0,5,0,4,39,0,3
4275,44,4,15,1,2,6,0,4,1,5,0,4,39,0,4
4321,32,4,11,15,2,1,0,4,1,5,0,4,39,0,3
4342,18,4,15,1,4,12,3,4,0,5,0,2,39,0,1
4363,43,1,11,15,2,14,0,4,1,5,0,4,39,0,4
4493,25,4,1,13,0,12,3,4,0,5,0,4,39,0,2
4526,47,4,5,10,2,7,5,2,0,5,0,3,39,0,4
4538,20,4,11,15,4,12,3,1,0,5,0,2,30,0,2
4555,41,4,1,13,2,6,0,4,1,13,0,4,39,1,4
4565,55,4,9,4,2,3,0,4,1,5,0,4,39,0,5
4600,53,4,11,15,2,3,0,4,1,5,0,4,39,1,5
4617,32,1,8,2,4,10,2,1,1,5,0,4,39,0,3
4650,31,4,11,15,4,12,3,1,0,5,0,4,39,0,3
4714,22,4,15,1,4,6,3,4,0,5,0,1,39,0,2
4724,37,6,9,4,2,12,0,1,1,9,0,7,40,0,3
4746,28,4,9,4,4,12,1,4,1,14,0,4,39,1,2
4845,36,1,11,15,2,1,0,4,1,5,0,4,39,0,3
4846,45,4,7,3,2,3,0,4,1,5,0,4,39,0,4
4854,25,4,9,4,4,13,1,1,0,5,2,4,30,0,2
4878,46,4,15,1,2,4,5,4,0,5,0,4,39,1,4
4934,47,1,11,15,2,1,0,2,1,5,0,4,39,1,4
4974,29,4,11,15,2,1,0,4,1,5,0,4,39,0,2
4992,23,4,15,1,4,4,1,4,1,5,0,4,39,0,2
4999,47,5,14,6,0,10,1,4,1,2,0,5,39,1,4
5011,33,7,12,5,4,10,1,1,1,5,0,3,24,0,3
5066,18,4,1,13,2,6,3,4,1,5,0,4,39,0,1
5100,47,7,12,5,2,4,0,4,1,5,0,4,39,1,4
5101,62,4,15,1,2,8,0,4,1,5,0,4,39,0,6
5119,50,4,11,15,2,3,0,4,1,9,0,4,39,1,5
5221,61,4,15,1,0,1,1,4,0,5,0,4,39,0,6
5303,42,1,12,5,0,1,1,4,1,5,3,6,39,0,4
5307,41,4,15,1,4,3,4,4,1,5,4,6,0,1,4
5413,23,4,11,15,4,1,3,1,0,5,0,4,40,0,2
5431,56,7,11,15,0,1,1,4,0,5,0,4,39,0,5
5583,55,4,8,2,0,1,4,2,0,5,0,4,39,0,5
5646,45,7,12,5,0,11,1,4,1,5,0,5,39,0,4
5679,60,4,6,11,2,12,0,4,1,5,0,4,39,0,6
5686,41,4,11,15,2,1,5,4,0,5,0,4,39,1,4
5690,31,4,11,15,4,8,3,4,0,5,0,3,39,0,3
5719,40,4,11,15,0,3,4,4,1,5,0,4,39,0,4
5742,30,4,9,4,4,10,1,4,1,5,0,5,39,0,3
5754,50,4,8,2,2,14,0,4,1,9,0,5,39,1,5
5813,45,6,15,1,2,4,0,4,1,5,0,6,39,0,4
5899,42,4,11,15,2,4,5,4,0,5,0,4,39,0,4
5901,63,4,11,15,2,14,5,1,0,5,0,2,39,0,6
5910,25,4,11,15,4,4,1,4,1,5,0,5,39,0,2
5958,18,4,11,15,4,1,3,4,0,5,0,2,39,0,1
6019,47,4,15,1,6,8,1,4,0,5,0,3,39,0,4
6116,22,4,11,15,4,14,1,4,1,5,0,7,39,0,2
6120,18,4,11,15,4,12,3,1,0,5,0,4,39,0,1
6143,44,4,11,15,2,3,0,4,1,5,0,4,39,0,4
6221,27,4,15,1,4,1,3,2,1,5,0,4,39,0,2
6222,52,2,12,5,2,10,5,4,0,5,0,4,39,1,5
6287,34,6,11,15,2,12,0,4,1,5,2,6,39,1,3
6328,57,4,15,1,2,3,0,4,1,5,0,4,39,1,5
6342,46,1,11,15,2,1,0,4,1,5,0,4,11,1,4
6352,30,4,8,2,2,1,5,4,0,5,0,2,39,0,3
6379,40,4,11,15,2,8,0,2,1,5,0,4,39,0,4
6404,33,4,11,15,2,12,0,4,1,5,0,5,39,1,3
6408,18,4,1,13,4,8,3,4,1,5,0,0,39,0,1
6588,77,6,5,10,3,1,1,4,1,5,0,2,22,1,7
6609,66,2,11,15,6,1,4,4,0,5,0,2,39,0,6
6619,56,5,12,5,0,4,1,4,1,2,0,6,39,1,5
6710,37,4,11,15,2,3,0,4,1,5,0,4,39,0,3
6819,44,4,15,1,0,4,1,4,1,5,0,5,39,0,4
6834,23,4,15,1,4,8,3,4,1,5,0,3,39,0,2
6860,51,0,8,2,2,0,0,4,1,5,0,5,39,1,5
6916,24,4,15,1,4,12,1,1,0,5,0,5,30,0,2
7078,18,4,1,13,4,12,3,3,0,5,0,2,0,0,1
7113,22,4,7,3,4,12,3,4,0,5,0,2,39,0,2
7179,24,6,15,1,4,8,1,4,0,5,0,7,39,0,2
7211,33,4,11,15,2,14,0,4,1,5,0,6,39,0,3
7221,52,4,11,15,6,12,4,4,0,5,2,4,39,0,5
7261,50,1,7,3,2,4,0,4,1,5,0,6,39,0,5
7294,31,7,10,7,2,4,0,4,1,13,0,5,39,1,3
7331,21,4,15,1,4,12,3,4,0,5,0,2,39,0,2
7390,32,4,15,1,0,10,1,4,1,5,0,4,39,0,3
7435,18,0,11,15,4,0,3,4,1,5,0,6,39,0,1
7533,36,4,9,4,0,1,4,4,0,5,0,4,39,0,3
7539,30,4,11,15,2,3,0,4,1,5,0,4,39,0,3
7615,34,4,11,15,4,4,4,4,0,5,0,2,9,0,3
7634,49,4,15,1,0,1,1,1,0,5,0,4,39,0,4
7705,70,4,11,15,2,3,0,4,1,5,0,3,39,0,7
7732,21,4,15,1,4,8,3,4,1,5,0,3,39,0,2
7748,23,0,11,15,4,0,1,4,1,5,0,4,39,0,2
7865,29,4,11,15,2,12,0,4,1,5,2,5,39,1,2
7867,50,1,0,12,5,3,1,4,1,5,0,5,39,0,5
7886,59,4,12,5,2,10,0,4,1,5,0,6,39,0,5
7891,37,6,11,15,2,4,0,4,1,5,0,6,39,1,3
7903,62,0,5,10,6,0,1,2,1,5,0,4,39,0,6
7934,32,7,9,4,2,13,0,4,1,5,0,2,39,0,3
7940,51,0,15,1,0,0,4,4,0,5,0,4,39,0,5
7978,34,1,9,4,4,4,4,1,1,7,0,4,1,0,3
8002,32,4,1,13,2,1,0,4,1,5,0,4,39,0,3
8021,42,4,15,1,2,3,0,2,1,5,0,4,39,1,4
8083,67,0,11,15,0,0,3,4,1,5,0,2,39,0,6
8157,27,2,9,4,4,13,1,4,1,5,0,5,39,0,2
8210,32,4,15,1,0,4,4,4,0,5,0,4,39,0,3
8250,30,4,11,15,4,14,1,4,1,5,0,4,39,1,3
8259,40,4,11,15,0,12,1,4,0,5,0,4,39,0,4
8316,53,1,11,15,2,1,0,4,1,5,0,4,39,0,5
8326,46,4,9,4,4,10,1,4,0,5,0,4,39,0,4
8412,45,4,15,1,2,3,2,1,1,5,0,4,30,0,4
8425,19,4,8,2,4,8,3,1,1,5,0,1,39,0,1
8476,30,7,12,5,2,10,0,1,1,5,0,1,3,0,3
8557,26,1,9,4,4,13,1,4,1,5,0,4,39,0,2
8609,49,4,11,15,2,3,0,4,1,5,0,4,39,0,4
8629,37,4,11,15,0,7,1,4,1,5,0,4,39,0,3
8646,21,4,15,1,4,4,3,4,0,5,0,4,39,0,2
8666,27,4,11,15,2,3,0,4,1,5,0,4,39,1,2
8774,55,5,11,15,2,4,0,4,1,5,0,6,39,0,5
8777,36,4,15,1,2,12,0,4,1,5,0,4,39,0,3
8794,39,4,9,4,2,14,0,4,1,1,0,9,39,1,3
8806,47,2,9,4,2,10,0,4,1,9,0,4,39,0,4
8951,41,4,9,4,2,8,0,1,1,5,0,3,40,0,4
8956,32,6,11,15,2,5,0,4,1,10,0,4,39,0,3
8961,90,0,11,15,6,0,1,4,0,5,5,4,39,0,9
8967,24,4,15,1,4,12,3,4,1,5,0,4,39,0,2
8991,39,4,8,2,5,1,1,1,1,5,0,4,39,0,3
9036,25,4,11,15,2,14,0,4,1,5,0,4,39,1,2
9083,32,4,8,2,2,3,0,4,1,5,0,4,39,0,3
9129,51,6,12,5,0,10,4,4,1,5,0,6,39,1,5
9146,21,0,11,15,4,0,1,4,0,5,0,4,39,0,2
9230,53,4,11,15,2,14,0,4,1,5,0,4,39,0,5
9246,19,4,11,15,2,8,5,2,0,5,0,1,39,0,1
9268,21,4,11,15,4,8,3,4,1,5,0,4,39,0,2
9280,46,4,0,12,0,3,1,4,1,5,0,4,39,0,4
9346,21,4,15,1,4,12,3,4,0,5,0,1,39,0,2
9347,51,7,8,2,0,10,4,4,0,5,0,4,39,0,5
9509,30,4,15,1,4,7,1,4,0,5,0,4,39,0,3
9565,73,7,5,10,0,8,1,1,0,5,0,4,39,0,7
9653,41,2,9,4,0,10,4,4,1,5,0,6,39,0,4
9692,52,6,15,1,2,12,0,4,1,5,0,5,39,0,5
9735,29,4,15,1,4,1,3,4,0,5,0,4,39,0,2
9793,39,4,11,15,2,4,0,4,1,5,0,5,39,0,3
9862,44,4,15,1,2,12,0,1,1,5,2,4,39,1,4
9869,63,0,11,15,6,0,1,2,0,5,0,1,39,0,6
9882,68,0,11,15,2,0,0,4,1,5,0,3,39,0,6
9883,37,4,1,13,2,8,0,4,1,5,0,4,39,0,3
9948,33,7,11,15,4,8,4,2,0,7,0,4,39,0,3
9972,19,4,15,1,4,8,3,4,1,5,0,2,39,0,1
9992,38,4,15,1,2,12,0,4,1,5,0,6,39,1,3
10023,27,4,11,15,4,6,2,1,1,5,0,4,39,0,2
10053,18,0,1,13,4,0,3,4,1,5,0,3,39,0,1
10120,47,4,9,4,0,3,1,4,1,5,0,4,39,0,4
10276,28,4,15,1,5,8,1,4,0,5,0,6,39,0,2
10283,51,1,10,7,2,10,0,4,1,10,0,5,39,1,5
10322,40,4,14,6,2,10,0,4,1,5,0,4,39,1,4
10349,35,4,8,2,0,4,1,4,1,5,0,4,39,0,3
10384,42,4,15,1,2,6,0,4,1,5,0,3,39,0,4
10394,52,4,11,15,2,12,0,4,1,5,0,4,39,0,5
10412,48,4,11,15,2,1,5,4,0,5,0,4,11,1,4
10441,63,5,9,4,2,5,0,4,1,5,0,4,39,1,6
10594,35,7,12,5,4,10,1,4,0,5,0,4,39,0,3
10613,51,7,8,2,0,13,1,4,1,5,3,3,39,1,5
10623,30,4,8,2,2,7,0,4,1,5,0,4,39,1,3
10643,50,4,9,4,0,12,1,4,1,5,0,4,39,0,5
10693,31,4,2,14,5,14,4,2,1,5,0,4,39,0,3
10711,45,4,3,8,2,8,5,4,0,5,0,2,8,0,4
10736,33,4,11,15,4,8,3,4,1,5,0,4,39,0,3
10799,52,4,15,1,2,13,0,4,1,5,0,4,39,0,5
10872,29,4,14,6,4,10,1,4,0,5,0,5,39,0,2
10880,46,4,11,15,0,6,1,4,0,5,0,4,39,0,4
10903,32,5,15,1,2,4,0,4,1,1,0,5,39,1,3
10948,38,4,9,4,2,10,5,4,0,5,0,4,39,1,3
10965,36,4,15,1,4,3,1,2,1,5,0,5,39,0,3
10981,19,6,11,15,4,1,3,1,0,5,0,3,39,0,1
11007,37,4,9,4,2,4,0,4,1,5,0,5,39,1,3
11078,43,4,15,1,2,14,0,4,1,5,0,4,39,0,4
11082,28,0,15,1,0,0,1,4,0,5,0,3,39,0,2
11170,37,4,11,15,2,3,0,4,1,5,0,7,39,0,3
11181,41,7,9,4,2,10,5,4,0,5,0,4,39,1,4
11307,34,4,9,4,4,8,1,4,0,5,0,1,39,0,3
11309,50,4,9,4,0,1,1,4,0,5,0,0,39,0,5
11313,65,0,15,1,6,0,1,1,0,5,0,0,39,0,6
11315,60,4,11,15,0,8,4,4,0,5,0,3,39,0,6
11319,58,7,15,1,6,10,1,4,0,5,0,2,39,0,5
11330,48,2,11,15,4,4,3,4,0,5,0,4,39,0,4
11374,31,4,11,15,2,3,0,4,1,5,0,5,39,0,3
11379,36,1,15,1,2,1,0,4,1,5,0,3,39,0,3
11467,37,4,9,4,2,4,0,4,1,5,0,4,39,1,3
11496,76,4,5,10,6,8,1,4,0,5,0,2,39,0,7
11520,48,4,1,13,4,8,1,4,0,5,0,3,39,0,4
11668,38,4,8,2,4,3,1,4,0,5,0,4,32,0,3
11684,67,0,11,15,6,0,1,4,0,5,0,1,11,0,6
11695,40,4,15,1,5,4,4,4,0,5,0,4,39,0,4
11718,46,7,11,15,2,8,5,2,0,5,0,4,39,0,4
11735,42,2,11,15,2,3,0,4,1,5,0,4,39,0,4
11771,33,4,11,15,2,5,0,4,1,5,0,4,39,0,3
11779,27,4,11,15,4,7,3,4,0,5,0,3,39,0,2
11802,35,4,11,15,4,14,4,2,1,5,0,7,39,0,3
11904,26,4,8,2,4,12,4,4,0,5,0,5,39,0,2
11912,45,7,15,1,2,1,5,1,0,5,0,4,39,1,4
11918,19,4,11,15,4,5,3,4,1,5,0,4,39,0,1
11937,58,5,11,15,2,4,0,4,1,5,0,4,39,0,5
11975,34,4,11,15,2,14,0,1,1,5,0,4,39,1,3
11982,35,4,11,15,2,8,0,1,1,5,0,4,3,0,3
11987,29,4,14,6,4,10,3,4,1,5,0,5,39,0,2
11996,37,6,8,2,2,3,0,4,1,5,0,5,39,0,3
12051,55,7,11,15,0,1,1,4,0,5,2,4,39,0,5
12058,39,4,12,5,2,10,0,4,1,4,0,4,39,1,3
12059,49,4,4,9,4,7,1,4,1,5,0,4,39,0,4
12125,33,4,11,15,4,14,2,1,1,5,0,4,39,0,3
12130,53,7,11,15,2,3,0,4,1,5,0,4,39,0,5
12160,28,4,11,15,2,6,0,4,1,5,0,3,39,0,2
12233,22,4,11,15,2,12,0,2,1,5,0,4,39,0,2
12291,36,4,9,4,4,10,1,4,0,5,0,4,39,0,3
12326,59,6,5,10,2,12,0,4,1,5,0,8,39,0,5
12425,49,4,14,6,2,10,0,4,1,5,0,6,39,1,4
12474,41,7,11,15,2,13,0,4,1,5,0,4,39,0,4
12506,39,4,9,4,4,4,1,4,1,5,0,4,39,0,3
12546,37,4,7,3,4,12,4,2,0,5,0,4,39,0,3
12572,62,4,11,15,2,12,0,1,1,5,0,4,30,0,6
12573,28,6,9,4,4,10,1,4,1,5,0,6,39,0,2
12575,24,4,9,4,4,12,3,4,1,5,0,4,39,0,2
12608,29,6,11,15,2,5,0,4,1,9,0,4,39,0,2
12659,48,4,11,15,6,8,4,4,0,5,0,2,39,0,4
12660,28,5,11,15,4,4,3,4,1,5,0,4,39,0,2
12828,40,4,8,2,0,14,1,4,1,5,0,5,39,1,4
12889,49,2,12,5,6,10,4,4,0,5,0,1,39,0,4
12903,17,4,0,12,4,12,3,2,0,5,0,2,39,0,1
12909,45,4,9,4,6,8,3,1,0,5,0,4,30,0,4
12913,26,4,15,1,2,10,5,1,0,5,0,4,39,0,2
12934,65,4,11,15,0,4,2,4,0,7,0,5,39,0,6
12987,76,0,0,12,2,0,0,4,1,7,0,4,39,0,7
13035,41,4,11,15,2,3,0,4,1,5,0,4,39,1,4
13116,52,4,12,5,2,10,0,4,1,5,0,4,39,1,5
13154,35,4,15,1,4,10,4,1,1,10,0,2,39,0,3
13165,54,6,12,5,0,10,1,4,1,5,0,5,39,1,5
13206,28,4,11,15,3,8,1,1,0,5,0,4,30,0,2
13211,54,4,9,4,4,8,1,4,0,5,0,5,39,0,5
13221,37,4,11,15,0,12,4,4,0,5,0,2,2,0,3
13266,33,2,9,4,4,10,1,0,1,5,0,6,39,0,3
13283,28,4,11,15,4,7,4,4,0,5,0,4,13,0,2
13322,49,4,11,15,4,1,3,1,0,5,0,4,39,0,4
13330,38,4,1,13,2,3,0,4,1,11,0,4,39,1,3
13365,38,0,12,5,2,0,5,2,0,1,0,0,39,1,3
13395,37,4,11,15,0,12,1,4,1,5,0,6,39,0,3
13396,26,4,11,15,2,3,0,4,1,5,0,4,39,0,2
13578,34,5,9,4,4,10,1,3,1,5,0,6,39,0,3
13592,40,4,9,4,2,5,0,4,1,5,0,4,39,0,4
13670,55,6,7,3,2,4,0,4,1,5,0,5,39,1,5
13693,37,4,15,1,2,14,0,1,1,5,0,4,39,0,3
13699,48,4,1,13,2,5,0,4,1,5,0,5,39,0,4
13701,34,4,1,13,4,8,3,1,1,5,0,4,30,0,3
13715,51,4,11,15,2,7,0,4,1,5,0,4,39,0,5
13754,31,4,3,8,4,8,2,4,0,5,0,2,8,0,3
13761,61,4,0,12,2,5,0,4,1,5,0,5,39,0,6
13763,37,1,11,15,0,10,4,1,0,5,0,4,0,0,3
13898,39,4,15,1,0,1,1,4,0,5,0,6,39,0,3
13905,73,5,11,15,2,12,0,4,1,5,0,2,39,0,7
13963,22,4,1,13,4,14,1,4,1,5,0,6,39,0,2
14033,42,2,11,15,0,5,1,4,1,5,0,4,39,0,4
14069,40,4,11,15,2,8,0,1,1,5,0,3,3,0,4
14085,35,6,11,15,2,3,0,4,1,8,0,4,39,0,3
14174,37,2,9,4,0,10,4,4,0,7,0,3,39,0,3
14180,28,4,11,15,4,6,1,4,1,5,0,4,39,0,2
14219,25,4,9,4,4,10,3,4,0,5,3,3,39,0,2
14228,40,4,15,1,2,4,0,4,1,5,0,4,39,0,4
14239,41,4,11,15,2,3,0,4,1,5,0,4,39,0,4
14263,28,4,15,1,4,8,1,4,0,5,0,3,39,0,2
14313,27,4,9,4,4,13,1,1,0,5,0,4,30,0,2
14344,28,4,15,1,4,1,2,4,0,5,0,4,39,0,2
14354,38,4,15,1,2,12,0,4,1,5,0,5,39,0,3
14379,62,6,9,4,2,3,0,4,1,5,0,5,39,1,6
14380,40,4,11,15,2,7,0,4,1,5,0,4,39,0,4
14392,52,5,11,15,2,5,0,4,1,5,0,6,39,0,5
14473,47,7,10,7,2,10,0,4,1,5,0,4,39,0,4
14495,64,4,11,15,0,3,4,4,1,5,0,2,39,0,6
14515,18,4,6,11,4,7,3,4,1,5,0,4,26,0,1
14539,17,4,6,11,4,3,3,4,0,5,0,1,39,0,1
14549,59,4,9,4,0,12,1,4,1,5,0,5,39,1,5
14559,59,4,14,6,3,10,4,4,1,5,0,5,39,0,5
14584,42,6,9,4,2,5,0,4,1,5,0,5,39,0,4
14593,44,4,11,15,0,1,4,4,0,5,0,4,39,0,4
14596,29,4,9,4,4,4,1,4,1,5,0,5,39,1,2
14709,29,4,9,4,2,10,0,4,1,5,0,4,39,1,2
14718,28,4,5,10,4,1,3,4,1,5,0,4,32,0,2
14721,31,4,9,4,4,4,1,4,1,0,0,5,39,1,3
14729,30,4,11,15,2,3,0,4,1,5,0,6,39,0,3
14757,30,4,11,15,2,3,3,1,1,9,0,4,39,0,3
14760,42,4,1,13,2,14,0,4,1,5,0,4,39,0,4
14895,56,4,5,10,2,3,0,4,1,5,0,4,32,0,5
14945,51,4,0,12,2,3,0,4,1,5,0,4,39,1,5
14958,38,4,14,6,2,10,5,4,0,5,0,4,39,0,3
14968,24,4,8,2,2,14,0,4,1,5,0,4,39,0,2
15001,36,5,9,4,2,12,0,4,1,1,0,4,39,1,3
15002,39,4,9,4,4,4,1,4,0,5,0,4,39,0,3
15023,64,6,5,10,2,3,0,4,1,5,0,2,39,0,6
15053,25,4,11,15,2,3,0,4,1,5,0,4,39,0,2
15061,51,2,15,1,6,1,1,4,0,5,0,4,39,0,5
15110,60,4,8,2,6,3,1,4,0,5,0,3,39,0,6
15155,38,4,9,4,2,4,0,4,1,5,0,4,0,1,3
15177,33,4,8,2,4,12,3,1,1,5,0,4,30,0,3
15216,45,4,11,15,2,8,0,1,1,5,0,4,30,0,4
15272,44,4,15,1,2,3,0,4,1,11,0,5,39,1,4
15373,28,4,11,15,4,8,4,4,1,5,0,4,39,0,2
15487,67,5,11,15,2,14,0,4,1,5,0,4,39,0,6
15635,59,6,14,6,2,5,0,4,1,5,0,3,39,0,5
15637,72,0,15,1,6,0,4,1,0,5,0,0,39,0,7
15678,60,6,11,15,5,8,1,2,1,5,2,5,39,0,6
15699,27,6,15,1,4,3,1,4,1,5,0,3,39,0,2
15761,35,4,9,4,2,12,0,4,1,1,0,5,39,1,3
15770,41,5,9,4,6,10,4,4,0,5,0,4,39,0,4
15787,36,4,11,15,4,8,3,2,1,5,0,3,39,0,3
15844,17,4,1,13,4,12,3,4,1,5,0,2,39,0,1
15845,27,4,15,1,4,4,1,4,1,5,0,4,39,0,2
